run_dir,summary_file,k,metric_variant,metric_key,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llada8b-n10-d4,summary_mc4.jsonl,4,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4180478821362799,0.716390423572744,0.411402701043585,5000,0.3756906077348066,0.4585635359116022,0.6777163904235728,0.7550644567219152
results/llada8b-n10-d4,summary_mc4.jsonl,4,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.40325865580448067,0.7393075356415478,0.411402701043585,5000,0.3604887983706721,0.4460285132382892,0.7006109979633401,0.7780040733197556
results/llada8b-n10-d4,summary_mc64.jsonl,64,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.4990791896869245,0.8121546961325967,0.411402701043585,5000,0.4567219152854512,0.5414364640883977,0.7790055248618785,0.8453038674033149
results/llada8b-n10-d4,summary_mc64.jsonl,64,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.47657841140529533,0.7841140529531568,0.411402701043585,5000,0.43380855397148677,0.5213849287169042,0.7474541751527495,0.8207739307535642
results/llada8b-n10-d4,summary_mc64.jsonl,64,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.5082872928176796,0.8250460405156538,0.411402701043585,5000,0.46593001841620624,0.5506445672191529,0.7918968692449355,0.856353591160221
results/llada8b-n10-d4,summary_mc64.jsonl,64,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.4623217922606925,0.7983706720977597,0.411402701043585,5000,0.4195519348268839,0.505091649694501,0.7637474541751528,0.8329938900203666
results/llada8b-n10-d4,summary_mc8.jsonl,8,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.3885819521178637,0.6998158379373849,0.411402701043585,5000,0.34806629834254144,0.429097605893186,0.6611418047882136,0.7384898710865562
results/llada8b-n10-d4,summary_mc8.jsonl,8,unnormalized_cleaned,empirical_KL_div_clean,543,491,0.3971486761710794,0.7230142566191446,0.411402701043585,5000,0.35234215885947046,0.4419551934826884,0.6822810590631364,0.7637474541751528
results/llada8b-n10-d4,summary_mc8.jsonl,8,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4180478821362799,0.7311233885819521,0.411402701043585,5000,0.3775322283609576,0.4585635359116022,0.6942909760589319,0.7679558011049724
results/llada8b-n10-d4,summary_mc8.jsonl,8,normalized_cleaned,empirical_KL_div_normalized_clean,543,491,0.4256619144602851,0.7331975560081466,0.411402701043585,5000,0.38085539714867617,0.47046843177189407,0.6924643584521385,0.769857433808554
