run_dir,metric_key,non_alnum_ratio,max_consec_repeat,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.25,12,543,475,0.6505263157894737,0.8547368421052631,0.4683667553372894,5000,0.608421052631579,0.6947368421052632,0.8231578947368421,0.8842105263157894
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.25,20,543,475,0.6505263157894737,0.8547368421052631,0.46824398062887934,5000,0.608421052631579,0.6947368421052632,0.8231578947368421,0.8842105263157894
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.35,8,543,490,0.6591836734693878,0.8693877551020408,0.4128742923402224,5000,0.6163265306122448,0.7,0.8387755102040816,0.8979591836734694
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.35,12,543,491,0.659877800407332,0.869653767820774,0.41203021621990316,5000,0.6171079429735234,0.7006109979633401,0.8391038696537678,0.8981670061099797
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.35,20,543,491,0.659877800407332,0.869653767820774,0.4116618920946729,5000,0.6171079429735234,0.7006109979633401,0.8391038696537678,0.8981670061099797
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.45,8,543,492,0.6585365853658537,0.8678861788617886,0.40344451265261577,5000,0.6158536585365854,0.6991869918699187,0.8373983739837398,0.8963414634146342
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.45,12,543,493,0.6592292089249493,0.8681541582150102,0.4026004365322966,5000,0.6166328600405679,0.6997971602434077,0.8377281947261663,0.896551724137931
results/llada8b-n10-d4,empirical_KL_div_normalized_clean,0.45,20,543,493,0.6592292089249493,0.8681541582150102,0.40217072505286133,5000,0.6166328600405679,0.6997971602434077,0.8377281947261663,0.896551724137931
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.25,8,543,530,0.6792452830188679,0.8886792452830189,0.35888240911261166,5000,0.6396226415094339,0.7188679245283018,0.8603773584905661,0.9150943396226415
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.25,12,543,530,0.6792452830188679,0.8886792452830189,0.35888240911261166,5000,0.6396226415094339,0.7188679245283018,0.8603773584905661,0.9150943396226415
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.25,20,543,530,0.6792452830188679,0.8886792452830189,0.35888240911261166,5000,0.6396226415094339,0.7188679245283018,0.8603773584905661,0.9150943396226415
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.35,8,543,539,0.6975881261595547,0.9053803339517625,0.1660783711888684,5000,0.6567717996289425,0.7346938775510204,0.8794063079777366,0.9294990723562152
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.35,12,543,539,0.6975881261595547,0.9053803339517625,0.16571004706363823,5000,0.6567717996289425,0.7346938775510204,0.8794063079777366,0.9294990723562152
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.35,20,543,539,0.6975881261595547,0.9053803339517625,0.16558727235522816,5000,0.6567717996289425,0.7346938775510204,0.8794063079777366,0.9294990723562152
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.45,8,543,541,0.6950092421441775,0.9075785582255084,0.14296773753495667,5000,0.6543438077634011,0.7338262476894639,0.8817005545286506,0.9316081330868762
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.45,12,543,541,0.6950092421441775,0.9075785582255084,0.14230782347725257,5000,0.6543438077634011,0.7338262476894639,0.8817005545286506,0.9316081330868762
results/llada8b-n10-d8,empirical_KL_div_normalized_clean,0.45,20,543,541,0.6950092421441775,0.9075785582255084,0.1420622740604324,5000,0.6543438077634011,0.7338262476894639,0.8817005545286506,0.9316081330868762
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.25,8,543,542,0.6494464944649446,0.8597785977859779,0.2943762362731055,5000,0.6088560885608856,0.6881918819188192,0.8284132841328413,0.8874538745387454
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.25,12,543,542,0.6494464944649446,0.8597785977859779,0.2943148489189005,5000,0.6088560885608856,0.6881918819188192,0.8284132841328413,0.8874538745387454
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.25,20,543,542,0.6494464944649446,0.8597785977859779,0.29425346156469545,5000,0.6088560885608856,0.6881918819188192,0.8284132841328413,0.8874538745387454
results/llada8b-n10-d16,empirical_KL_div_normalized_clean,0.35,8,543,543,0.6740331491712708,0.8784530386740331,0.08464804583589113,5000,0.6353591160220995,0.712707182320442,0.8507826887661143,0.9042817679558005
