model,diffusion_steps,mc,section,total_instances,total_evaluated,artifact_rate,rank_acc_all,rank_acc_any,mean_kl_valid,mean_kl_distractor
llada8b-n10-d128,128,64,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.47697974217311234,0.7753222836095764,0.17962667787161257,0.36096244881677575
llada8b-n10-d2,2,128,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.6869244935543278,0.8876611418047882,0.035222946311086585,0.15821733014889625
llada8b-n10-d4,4,128,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.6703499079189686,0.8913443830570903,0.026804718634860565,0.13178091102660308
llada8b-n10-d8,8,128,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.6832412523020258,0.8766114180478821,0.044471258367375706,0.17034014918430998
llada8b-n10-d16,16,128,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.6427255985267035,0.848987108655617,0.08429313462036589,0.23217122756429953
llada8b-n10-d32,32,128,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.6353591160220995,0.8360957642725598,0.12945860889282051,0.299497254050534
llada8b-n10-d64,64,128,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.6058931860036832,0.8047882136279927,0.1719441689106402,0.35804498531430107
llada8b-n10-d128,128,128,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.5893186003683242,0.7992633517495396,0.17585765805822212,0.35883394102112975
llada8b-n10-d2,2,256,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.7255985267034991,0.8987108655616943,0.03458834578016005,0.1629469374839357
llada8b-n10-d4,4,256,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.6721915285451197,0.8987108655616943,0.027142323459163325,0.12995422334869486
llada8b-n10-d8,8,256,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.7090239410681399,0.9097605893186004,0.04271840573257023,0.17055706434980636
llada8b-n10-d16,16,256,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.6777163904235728,0.8821362799263351,0.08382867607837609,0.2332434125249573
llada8b-n10-d32,32,256,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.6390423572744015,0.8324125230202578,0.12893257217292967,0.30165742876767687
